pair,rho_used,p_used,rho_all,n_used,top25_overlap
seed,0.9379093614995827,2.820351274177375e-107,0.9323107210130569,231,24
seed,0.9566359670388992,6.704320165683837e-121,0.9504085281966896,224,24
seed,0.9549357472555149,3.3516160349625693e-121,0.9477058193903491,228,23
seed,0.9465382808957272,5.425298604725029e-115,0.9332460809002985,232,24
seed,0.9437623223412173,1.315467405418608e-110,0.9402117649868922,228,23
seed,0.9574740789428753,4.5821515463459583e-125,0.9436598492741092,230,23
seed,0.9322461504165186,7.246219845730249e-101,0.9406822584183411,226,24
seed,0.9523909146190573,4.733959176526931e-118,0.9502137533165937,227,24
seed,0.9407938288380346,3.246251825859935e-107,0.9377445930553145,226,24
seed,0.9234741005126499,7.884097856048863e-97,0.9311827719955339,230,23
seed,0.9606812091173664,7.220605247195877e-129,0.9425535731704575,230,24
seed,0.9158333702641144,1.0419679024156643e-92,0.9287950386056534,231,24
seed,0.9533029109230609,1.5482765373222529e-120,0.9481065375765372,230,23
seed,0.9602634839387818,8.44557609313527e-128,0.9520311536295651,229,23
seed,0.9301680324961483,3.417217420613235e-101,0.9324098449125537,230,23
seed,0.9391782847066183,9.781207052577891e-109,0.9354637959704868,232,25
seed,0.9559311971661837,2.4387208428568404e-123,0.9522482538300286,230,24
seed,0.9473268359510123,3.0855088764600054e-113,0.952762187655209,227,25
seed,0.9386447621746277,2.5887294438360084e-108,0.9387659315060528,232,25
seed,0.9501456909467666,2.3141586837698637e-116,0.9435222233139965,228,24
seed,0.932945339277491,3.929102378447982e-103,0.9410713639645515,230,24
seed,0.9408193348913754,9.160866068832538e-107,0.9487524712446324,225,22
seed,0.9568164514777826,1.2362967051747167e-121,0.9543751369053064,225,23
seed,0.9554204176551752,2.990648663216607e-122,0.9460106250294728,229,23
seed,0.9337347680232074,1.0661430284885391e-103,0.9363219723089439,230,22
seed,0.9367990552508295,2.0122010017897772e-106,0.9354656267898741,231,23
seed,0.9589759241784084,1.6174652521403203e-123,0.9509005560834358,224,24
seed,0.9520369460393788,9.952132054939987e-119,0.9451378346309697,229,23
seed,0.9528834543844993,1.3840945891840728e-119,0.9462811426730882,229,24
seed,0.9657079276958555,1.3924635168971748e-132,0.9590766213052591,225,23
seed,0.9461753991781658,1.063180856114759e-112,0.9488981815371245,228,23
seed,0.9478268280855182,1.0855486989553656e-113,0.9452526575137619,227,23
seed,0.9520014387544337,1.0076805502733796e-119,0.9408117785897685,231,23
seed,0.9490263251179595,8.581372989524116e-114,0.9470468030050219,225,24
seed,0.9238698954235142,9.500050016554806e-99,0.9222804321436543,234,23
seed,0.9427356809939137,3.5320210904270396e-111,0.9373068615922465,231,24
seed,0.9429896494947804,5.882960567998486e-110,0.9448262539072637,228,24
seed,0.9418056525263943,5.61026680283595e-109,0.9388949613141175,228,23
seed,0.9352430651565593,2.97749671347064e-105,0.9329540922546365,231,24
seed,0.9363221013457861,1.621972234992554e-106,0.9351434480818382,232,23
seed,0.9569267337289713,6.587110909292479e-124,0.947611226526565,229,24
seed,0.9307480629063544,4.982691076244367e-102,0.9339158344263403,231,24
seed,0.9583017666683273,5.111110794620595e-126,0.9407968347024763,230,24
seed,0.9372723165206874,8.746590275679444e-107,0.9381153368428934,231,24
seed,0.9426416191147116,3.444347401904653e-109,0.9399318481316694,227,23
seed,0.9407591604566965,1.7555689503455976e-110,0.9354382746233213,233,23
seed,0.9362927357250795,2.0970675441328833e-107,0.9306065665056737,234,24
seed,0.9478251163427313,3.5063905116442567e-115,0.9380698810890677,230,24
seed,0.9407000778815348,1.7131263971014295e-109,0.9407498841513972,231,24
seed,0.94499208844311,1.3164259808444265e-113,0.940630940546567,232,24
seed,0.94341108458952,9.440879682767402e-112,0.9405281357953552,231,24
seed,0.9431553509909832,1.7144156716998736e-112,0.9373555934061248,233,24
seed,0.9502118688279976,6.429801725505196e-116,0.9523217135617627,227,24
seed,0.9404804992380974,3.4154101697280944e-111,0.9319520329918326,235,24
seed,0.953683471247152,2.302342746396029e-119,0.9473167552210812,227,22
seed,0.9493665030579251,3.9341998238819936e-117,0.9464877403632072,231,24
seed,0.947092789396402,5.142337302079569e-114,0.9447592000745938,229,23
seed,0.9465721949296749,5.053425752511969e-115,0.9440049339846504,232,23
seed,0.9480120913316765,2.393364223768923e-117,0.940239704561717,234,22
seed,0.9417353429275955,2.4212168671804837e-110,0.942198922966612,231,23
seed,0.9505163191214313,9.02639622337655e-120,0.9405665584971313,234,23
seed,0.9386726466698033,2.4608706838725093e-108,0.9350008608197878,232,23
seed,0.946696493271128,4.0231842718290476e-116,0.940678059674285,234,23
seed,0.9357335079989101,1.0357407151372106e-104,0.939222450453625,229,23
seed,0.928645547915634,5.0108081967112216e-101,0.9279389532716131,232,24
seed,0.9368987761615889,5.892403418939304e-107,0.9399698534203716,232,23
seed,0.9518269113102088,1.5116065509662026e-119,0.9491610459507489,231,23
seed,0.9312916732510347,1.0018408633501891e-103,0.9303464188802665,234,23
seed,0.9347899598036582,1.8180908749463848e-104,0.9481784885977111,230,23
